ds;y
2018-04-17;1.258.084.708
2018-04-16;1.426.224.019
2018-04-13;6.513.560.243
2018-04-12;860.381.599
2018-04-11;921.028.500
2018-04-10;1.409.743.897
2018-04-09;1.222.734.075
2018-04-06;938.842.798
2018-04-05;773.284.546
2018-04-04;2.999.399.635
2018-04-03;819.986.847
2018-04-02;1.197.271.259
2018-03-29;18.412.040.939
2018-03-28;3.351.879.313
2018-03-27;1.615.528.633
2018-03-26;1.434.658.406
2018-03-23;16.586.828.036
2018-03-22;1.794.600.890
2018-03-21;1.169.125.259
2018-03-20;16.932.131.241
2018-03-19;2.749.467.812
2018-03-16;1.107.482.359
2018-03-15;1.373.389.792
2018-03-14;4.688.441.062
2018-03-13;755.930.217
2018-03-12;765.566.363
2018-03-09;1.153.327.225
2018-03-08;771.055.638
2018-03-07;1.241.295.523
2018-03-06;730.816.641
2018-03-05;2.333.235.334
2018-03-02;740.494.606
2018-03-01;1.367.113.273
2018-02-28;20.841.146.102
2018-02-27;2.236.083.771
2018-02-26;1.463.722.264
2018-02-23;17.070.300.644
2018-02-22;2.062.573.699
2018-02-21;1.397.368.919
2018-02-20;17.784.134.636
2018-02-19;2.664.108.296
2018-02-16;4.059.857.182
2018-02-15;1.623.451.664
2018-02-14;726.161.001
2018-02-09;1.401.744.573
2018-02-08;691.802.463
2018-02-07;1.325.486.521
2018-02-06;763.423.234
2018-02-05;2.711.375.784
2018-02-02;678.511.073
2018-02-01;911.811.978
2018-01-31;47.022.829.413
2018-01-30;7.387.980.981
2018-01-29;3.464.169.539
2018-01-26;1.348.724.442
2018-01-25;12.379.636.642
2018-01-24;9.338.972.391
2018-01-23;1.842.204.220
2018-01-22;6.341.816.061
2018-01-19;17.570.456.715
2018-01-18;2.250.249.756
2018-01-17;1.478.711.879
2018-01-16;1.045.233.909
2018-01-15;4.758.446.664
2018-01-12;758.835.727
2018-01-11;783.857.422
2018-01-10;1.584.662.391
2018-01-09;820.720.602
2018-01-08;1.507.404.123
2018-01-05;1.037.168.004
2018-01-04;6.143.903.446
2018-01-03;985.650.182
2018-01-02;952.979.271
2017-12-29;3.982.532.511
2017-12-28;15.245.617.415
2017-12-27;3.211.325.727
2017-12-26;5.333.711.462
2017-12-22;16.604.608.933
2017-12-21;2.493.861.412
2017-12-20;17.815.772.245
2017-12-19;3.435.542.343
2017-12-18;2.133.134.669
2017-12-15;2.041.291.552
2017-12-14;2.247.380.875
2017-12-13;2.916.893.732
2017-12-12;1.048.483.419
2017-12-11;1.074.732.693
2017-12-08;2.082.662.363
2017-12-07;1.221.901.844
2017-12-06;1.033.993.931
2017-12-05;9.261.035.815
2017-12-04;1.082.136.371
2017-12-01;1.269.968.344
2017-11-30;22.518.765.666
2017-11-29;3.233.675.146
2017-11-28;2.144.863.394
2017-11-27;1.701.000.102
2017-11-24;17.038.177.587
2017-11-23;3.066.798.566
2017-11-22;1.420.143.621
2017-11-21;3.073.089.058
2017-11-20;8.028.403.787
2017-11-17;9.155.266.669
2017-11-16;4.187.119.656
2017-11-14;2.863.738.985
2017-11-13;1.604.322.609
2017-11-10;1.406.306.202
2017-11-09;876.094.780
